MES	ID	SCORE_SISTEMA	CTDMESPASIVOULT12MES	INGRESO	CLASIFRIESGO_6	ESTADOCIVIL	TIPO	DEPARTAMENTO	NUMEROHIJOS	INCUMPLIMIENTOEN12	DELTA_BANCOS
201510	24483970	415.38243559	12	4359.63	0	SOL	1	08	0	0	3
201510	24484275	385.30422468	12	4328.9	0	SOL	1	20	0	0	3
201510	24484493	329.71144733	12	3863.49	0	SOL	1	30	0	0	3
201510	24484787	397.99162539	12	3153.22	0	SOL	1	20	0	0	3
201510	24484960	377.73472778	12	4048.23	0	SOL	1	30	0	0	3
201510	24485174	309.39315448	12	3502.95	0	SOL	1	16	0	0	3
201510	24485192	414.91918405	12	3367.68	0	CAS	1	30	3	0	3
201510	24485220	384.45841316	12	3098.14	0	CAS	1	18	3	0	3
201510	24485222	380.54880942	12	4181.23	0	CAS	1	30	0	0	3
201510	24485223	323.22305036	12	3175.86	0	SOL	1	46	0	1	3
201510	24485554	446.61014867	12	4328	0	CAS	1	08	2	0	3
201510	24485772	355.18932016	10	3286.36	0	SOL	1	30	0	0	3
201510	24485855	354.88282012	12	4038.05	0	SOL	1	26	1	0	3
201510	24485964	338.81510323	12	4218.61	0	CAS	1	30	1	0	3
201510	24486035	238.6312902	12	3221.42	0	SOL	1	30	0	0	3
201510	24486049	398.03458332	12	3378.07	0	CON	1	30	0	0	3
201510	24486377	307.66568901	12	3954.72	0	SOL	1	08	-	0	3
201510	24486523	376.29356025	12	3757.59	0	CAS	1	30	2	0	3
201510	24486663	369.40727051	12	3630.67	0	SOL	1	08	0	0	3
201510	24487009	396.45056548	12	3612.87	0	CAS	1	44	2	0	3
201510	24487192	280.76163898	12	3606.85	0	SOL	1	08	2	1	3
201510	24487492	344.99686016	12	3594.09	2	SOL	1	30	1	0	3
201510	24487621		12	4876.02	0	CAS	1	08	0	0	3
201510	24487685	276.30868654	12	3211.65	0	SOL	1	30	0	0	3
201510	24487737	430.57122081	12	3230.7	0	SOL	1	44	1	0	3
201510	24487764		12	3708	0	SOL	1	18	0	0	3
201510	24487818	416.24798309	12	4540.78	0	CAS	1	14	3	0	3
201510	24487824	376.6053212	12	3074.97	0	SOL	1	30	-	0	3
201510	24487969	216.93284447	12	4921.85	1	CAS	1	12	1	0	3
201510	24487987	370.46891928	12	4956.64	0	SOL	1	30	0	0	3
201510	24488078	423.82946845	12	3616.2	0	CON	1	12	2	0	3
201510	24488519	348.63254382	12	4061.93	0	SOL	1	30	3	0	3
201510	24489803	381.97174807	12	4075.01	0	SOL	1	30	0	0	3
201510	24491332	367.5883532	12	4918.18	0	CAS	1	40	1	0	3
201510	24491810	370.97063781	12	3555.24	0	SOL	1	46	2	0	3
201510	24491844	315.83780722	12	3700.62	0	SOL	1	24	3	0	3
201510	24491885	365.85455993	12	4999.25	0	CAS	1	22	1	0	3
201510	24491998	389.08269173	12	4120.61	0	CAS	1	22	2	0	3
201510	24492000	399.54270743	12	3163.19	0	SOL	1	28	0	0	3
201510	24492207	330.7848612	9	4756.58	0	SOL	1	08	-	0	3
201510	24492255	324.84186223	12	4816.03	0	CAS	1	42	2	0	3
201510	24492314	336.3025548	12	3236.8	0	CAS	1	30	3	0	3
201510	24492343	254.85230103	12	3224.56	1	CAS	1	30	2	0	3
201510	24492652	294.04834918	12	3628.06	2	CAS	1	20	0	0	3
201510	24492686	376.2993934	12	4998.03	1	CAS	1	36	2	0	3
201510	24492980	430.33801199	12	4246.04	0	SOL	1	26	1	0	3
201510	24493186	273.82973613	12	4605.75	0	CAS	1	26	0	0	3
201510	24493194	245.12442663	12	3432.94	0	CBS	1	14	0	0	3
201510	24493290	382.10424226	12	3520.64	0	SOL	1	30	4	0	3
201510	24493526	296.2739349	7	4991.97	0	CAS	1	14	0	0	3
201510	24493860	349.18054827	12	4642.85	0	SOL	1	30	0	0	3
201510	24493899	412.34085909	12	3565.46	0	SOL	1	28	1	0	3
201510	24493951	401.20767112	12	3332.1	0	SOL	1	14	1	0	3
201510	24494073	370.43357683	12	4307.6	0	VIU	1	28	-	0	3
201510	24494190	323.21172114	12	4051.42	0	SOL	1	08	0	0	3
201510	24494229		12	3369.93	0	CAS	1	38	2	0	3
201510	24494231	375.15731326	12	3875.01	1	CAS	1	08	0	0	3
201510	24494298	347.65939397	12	3479.16	0	CAS	1	30	0	0	3
201510	24494509	288.82480735	12	3750.32	0	SOL	1	30	3	0	3
201510	24494566	445.96917254	12	4257.93	0	SOL	1	08	0	0	3
201510	24494716	354.53508341	12	3431.86	0	SOL	1	24	1	0	3
201510	24494941	273.53014653	12	4841.58	0	CAS	1	22	3	0	3
201510	24495157	303.01434399	12	3015	0	SOL	1	30	2	0	3
201510	24495792		12	3869.44	0	SOL	1	08	0	0	3
201510	24496089		12	4932.83	0	CAS	1	40	2	0	3
201510	24496093	345.918606	12	4200	0	SOL	1	16	-	0	3
201510	24496155	388.25461425	12	3577.25	0	SOL	1	30	1	0	3
